depth,pc05,pc10,pc25,pc50,pc75,pc90,pc95,censored,drip_upper_bound,pc50_for_continuity
162.46,16.812296908884598,17.632181324571327,19.169330975700547,21.17653484505232,23.58966739397176,26.218306896822643,28.056912680412182,0,,21.17653484505232
162.96,16.79739918627511,17.61182187069077,19.137501886772338,21.12757155145865,23.51665486882654,26.11503525921342,27.930025620976995,0,,21.12757155145865
163.46,14.838983116539913,15.496549998638738,16.71506304073911,18.27879757171585,20.1190524164526,22.076240821311117,23.416480018282176,0,,18.27879757171585
163.96,15.818607750237131,16.553799227448252,17.923833213246134,19.6968913493203,21.804988817082528,24.07270991270345,25.64178133916588,0,,19.6968913493203
164.46,13.165261259138695,13.698482493532897,14.676847892162025,15.91433177600173,17.345250810744602,18.83787276875119,19.84321422196255,0,,15.91433177600173
164.96,13.187720347432736,13.722598998042924,14.70414453779446,15.945884660956136,17.38206938809358,18.88057870276153,19.89040212870114,0,,15.945884660956136
165.46,9.72422032143255,10.041836701416898,10.612909242601903,11.314567941878192,12.098500673449452,12.886812326007565,13.401375998351853,0,,11.314567941878192
165.96,15.82075563437716,16.55800299922746,17.932277567999975,19.711686075585344,21.82864544881424,24.1073674110592,25.6849788025454,0,,19.711686075585344
166.46,18.564643830744195,19.54367490989412,21.39860532487192,23.859286141716,26.87658391904074,30.238695258028844,32.638798253082484,0,,23.859286141716
166.96,16.038407040258097,16.790454263072025,18.193511886713924,20.01214025448229,22.178797570061185,24.51477958762248,26.13386782216738,0,,20.01214025448229
167.46,16.50091106488869,17.2931749310287,18.775525287601575,20.70549778699696,23.01722108665784,25.524987328308804,27.272462856269456,0,,20.70549778699696
167.96,10.170110137591248,10.514060369386964,11.1343149176079,11.899522114980956,12.75869433639328,13.626958208953388,14.19680542195308,0,,11.899522114980956
168.46,13.034556059374744,13.560844641098228,14.526124839197008,15.746497678235588,17.156712121173037,18.62696604840094,19.61700379999564,0,,15.746497678235588
168.96,15.124185892852058,15.804979407033684,17.068798748419955,18.69506386698626,20.6151717067974,22.66476677634693,24.072905960342464,0,,18.69506386698626
169.46,16.366126733778234,17.146576812823785,18.60557102657317,20.50262988667327,22.77137015285285,25.22797728625384,26.937291147653387,0,,20.50262988667327
169.91,18.583423031463447,19.566856762750305,21.43108009614969,23.905836507535778,26.94337499010998,30.33146581710927,32.75314515917038,0,,23.905836507535778
170.36,17.30975028934606,18.17256946911712,19.7947369303813,21.921919083299507,24.49286770504744,27.31047867936513,29.29129349873337,0,,21.921919083299507
170.81,14.669486676916392,15.31510001641522,16.510431499742655,18.04263304149841,19.843171802924267,21.75498649547907,23.06310328906524,0,,18.04263304149841
171.26,13.867620448489673,14.454963174268608,15.537696578505082,16.91681150653005,18.524810283786284,20.21781374189592,21.36805676671544,0,,16.91681150653005
171.71,15.00881139048534,15.680200546759218,16.925534340759416,18.52634300384951,20.41398631666891,22.425934944434736,23.80628076310306,0,,18.52634300384951
